,GPA_NO,TOFEL,SATI,RankGroup,result
0,85,92,1800,3,1
1,85,92,1800,3,1
2,85,92,1800,2,-1
3,85,92,1800,3,1
4,85,92,1800,3,1
5,85,92,1800,3,1
6,85,92,1800,4,1
7,87,94,1990,2,-1
8,87,94,1990,2,-1
9,87,94,1990,2,-1
10,87,94,1990,2,-1
11,87,94,1990,2,-1
12,87,94,1990,2,-1
13,87,94,1990,3,1
14,87,94,1990,2,-1
15,86,103,1870,2,-1
16,86,103,1870,3,1
17,86,103,1870,2,1
18,86,103,1870,3,1
19,86,103,1870,3,1
20,87,91,1780,2,-1
21,87,91,1780,3,1
22,87,91,1780,3,1
23,87,91,1780,3,1
24,87,91,1780,3,1
25,87,109,2130,2,1
26,87,109,2130,2,-1
27,87,109,2130,2,-1
28,87,109,2130,2,-1
29,87,109,2130,2,1
30,87,109,2130,2,-1
31,87,109,2130,2,-1
32,88,103,2010,1,-1
33,88,103,2010,2,-1
34,88,103,2010,2,-1
35,88,103,2010,2,1
36,88,103,2010,2,1
37,88,103,2010,2,1
38,88,103,2010,2,1
39,88,103,2010,2,1
40,88,103,2010,2,1
41,88,103,2010,2,1
42,88,103,2010,2,1
43,88,103,2010,3,-1
44,86,100,1920,2,-1
45,86,100,1920,2,-1
46,86,100,1920,2,-1
47,86,100,1920,2,-1
48,86,100,1920,2,1
49,86,100,1920,2,1
50,86,100,1920,2,1
51,86,100,1920,3,-1
52,86,100,1920,3,1
53,86,100,1920,3,1
54,86,100,1920,2,-1
55,86,100,1920,3,1
56,84,104,1940,2,-1
57,84,104,1940,2,-1
58,84,104,1940,2,-1
59,84,104,1940,2,-1
60,84,104,1940,2,-1
61,84,104,1940,2,1
62,84,104,1940,2,-1
63,84,104,1940,2,-1
64,84,104,1940,2,-1
65,85,94,1910,2,-1
66,85,94,1910,2,-1
67,85,94,1910,2,-1
68,85,94,1910,2,-1
69,85,94,1910,3,1
70,85,94,1910,3,1
71,85,94,1910,3,1
72,85,94,1910,3,-1
73,85,94,1910,3,1
74,85,84,1800,3,1
75,85,84,1800,2,-1
76,85,84,1800,2,-1
77,85,84,1800,3,1
78,85,84,1800,2,1
79,86,94,1860,2,-1
80,86,94,1860,2,-1
81,86,94,1860,2,1
82,86,94,1860,3,1
83,86,94,1860,2,1
84,86,94,1860,2,1
85,86,94,1860,2,-1
86,86,94,1860,2,-1
87,86,94,1860,2,-1
88,88,90,1950,3,1
89,88,90,1950,2,-1
90,88,90,1950,2,-1
91,88,90,1950,2,1
92,88,90,1950,2,1
93,88,90,1950,2,1
94,88,90,1950,3,1
95,88,90,1950,2,-1
96,88,90,1950,2,-1
97,88,90,1950,2,-1
98,88,90,1950,3,1
99,88,90,1950,2,1
100,85,96,1850,2,-1
101,85,96,1850,2,1
102,85,96,1850,2,-1
103,85,96,1850,3,1
104,85,96,1850,1,-1
105,85,96,1850,3,-1
106,85,96,1850,3,1
107,85,96,1850,2,-1
108,85,96,1850,2,-1
109,85,96,1850,2,-1
110,85,96,1850,2,-1
111,86,103,1950,2,-1
112,86,103,1950,2,-1
113,86,103,1950,2,1
114,86,103,1950,2,-1
115,86,103,1950,2,1
116,86,103,1950,2,1
117,86,103,1950,3,1
118,86,103,1950,2,1
119,86,103,1950,3,1
120,86,103,1950,3,1
121,86,103,1950,3,1
122,86,103,1950,3,1
123,88,88,1710,2,-1
124,88,88,1710,2,-1
125,88,88,1710,2,1
126,88,88,1710,3,1
127,88,88,1710,4,1
128,88,88,1710,3,-1
129,88,88,1710,2,-1
130,88,88,1710,2,1
131,88,88,1710,3,-1
132,88,88,1710,2,-1
133,88,88,1710,3,-1
134,75,87,1630,3,1
135,75,87,1630,2,1
136,75,87,1630,3,-1
137,75,87,1630,3,-1
138,75,87,1630,2,-1
139,75,87,1630,2,-1
140,92.5,104,2040,2,1
141,92.5,104,2040,2,1
142,92.5,104,2040,3,1
143,92.5,104,2040,2,-1
144,92.5,104,2040,2,-1
145,92.5,104,2040,2,-1
146,92.5,104,2040,2,1
147,92.5,104,2040,2,-1
148,92.5,104,2040,2,1
149,92.5,104,2040,3,1
150,92.5,104,2040,2,-1
151,86,102,1600,3,-1
152,86,102,1600,3,1
153,86,102,1600,3,1
154,86,102,1600,3,-1
155,86,102,1600,3,1
156,86,102,1600,3,-1
157,85,89,1870,3,1
158,85,89,1870,3,1
159,85,89,1870,2,1
160,85,89,1870,3,1
161,85,89,1870,2,-1
162,85,89,1870,2,-1
163,85,89,1870,3,1
164,85,89,1870,3,1
165,85,89,1870,2,-1
166,86,89,1790,3,-1
167,86,89,1790,3,1
